,tipo,barrio,sup,pricem2,habs
23009,apartment,San Cristobal,40.0,2300.0,2.0
23010,apartment,Caballito,33.0,2181.82,1.0
23011,apartment,Colegiales,62.0,2774.19,3.0
23012,apartment,Caballito,30.0,2300.0,1.0
23013,apartment,Puerto Madero,51.0,3921.57,2.0
23015,apartment,Nuñez,45.0,2744.44,2.0
23016,apartment,Nuñez,43.0,5056.98,3.0
23017,apartment,Puerto Madero,51.0,3921.57,2.0
23018,apartment,Caballito,65.0,2384.62,2.0
23019,apartment,Barrio Norte,23.0,3260.87,1.0
23020,apartment,Puerto Madero,51.0,3921.57,2.0
23021,apartment,Almagro,40.0,1675.0,2.0
23022,apartment,Palermo,54.0,1814.81,2.0
23023,house,Colegiales,200.0,1495.0,5.0
23024,apartment,Palermo,62.0,951.57,2.0
23025,apartment,Palermo,31.0,1078.44,1.0
23026,apartment,Palermo,34.0,1167.44,1.0
23027,apartment,Palermo,31.0,1284.69,1.0
23028,apartment,Palermo,31.0,1115.87,1.0
23029,PH,Palermo,184.0,2445.65,5.0
23030,apartment,Palermo,38.0,1128.35,1.0
23031,apartment,Palermo,33.0,1279.39,2.0
23032,apartment,Palermo,31.0,1158.37,1.0
23033,apartment,Palermo,31.0,1222.46,1.0
23034,apartment,Palermo,37.0,1202.37,1.0
23035,apartment,Palermo,42.0,968.67,1.0
23036,apartment,Palermo,33.0,1260.48,1.0
23037,apartment,Palermo,47.0,1268.5,2.0
23038,apartment,Palermo,42.0,1214.43,2.0
23039,apartment,Retiro,95.0,1121.67,3.0
23040,apartment,Belgrano,50.0,2900.0,1.0
23041,apartment,Belgrano,38.0,2605.26,1.0
23042,apartment,Belgrano,32.0,2937.5,1.0
23043,apartment,Belgrano,37.0,2648.65,1.0
23044,apartment,Belgrano,37.0,2432.43,1.0
